Departamento de residencia,Causa de muerte,Total,Hombres,Mujeres,Anio,Código CIE-10
Sacatepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,33,9,24,09,
Sacatepequez,Diarrea y gastroenteritis de presunto origen infeccioso,32,19,13,09,
Sacatepequez,Enfermedad alcohólica del hígado,31,28,3,09,
Sacatepequez,Insuficiencia cardíaca,30,11,19,09,
Sacatepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",90,43,47,09,
Sacatepequez,Otras causas,653,338,315,09,
Chimaltenango,Todas las causas,2670,1529,1141,09,
Chimaltenango,"Neumonía, organismo no especificado",338,175,163,09,
Chimaltenango,Exposición a factores no especificados,161,129,32,09,
Chimaltenango,Insuficiencia cardíaca,136,67,69,09,
Chimaltenango,Infarto agudo del miocardio,120,66,54,09,
Chimaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,104,97,7,09,
Chimaltenango,Enfermedad alcohólica del hígado,100,79,21,09,
Chimaltenango,Tumor maligno del estómago,98,47,51,09,
Chimaltenango,"Diabetes mellitus, no especificada",89,34,55,09,
Chimaltenango,Otras enfermedades pulmonares obstructivas crónicas,78,46,32,09,
Chimaltenango,Fibrosis y cirrosis del hígado,76,52,24,09,
Chimaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",75,71,4,09,
Chimaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",61,28,33,09,
Chimaltenango,"Desnutrición proteicocalórica, no especificada",58,25,33,09,
Chimaltenango,Sepsis bacteriana del recién nacido,46,25,21,09,
Chimaltenango,Insuficiencia renal no especificada,45,16,29,09,
Chimaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",128,60,68,09,
Chimaltenango,Otras causas,957,512,445,09,
Escuintla,Todas las causas,3950,2446,1504,09,
Escuintla,"Agresión con disparo de otras armas de fuego, y las no especificadas",358,335,23,09,
Escuintla,Exposición a factores no especificados,290,257,33,09,
Escuintla,"Neumonía, organismo no especificado",211,114,97,09,
Escuintla,"Diabetes mellitus, no especificada",210,86,124,09,
Escuintla,Diarrea y gastroenteritis de presunto origen infeccioso,203,112,91,09,
Escuintla,Infarto agudo del miocardio,172,103,69,09,
Escuintla,"Desnutrición proteicocalórica, no especificada",109,62,47,09,
Escuintla,Fibrosis y cirrosis del hígado,92,67,25,09,
Escuintla,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",77,60,17,09,
Escuintla,Tumor maligno del hígado y de las vías biliares intrahepáticas,71,37,34,09,
Escuintla,Insuficiencia renal crónica,65,38,27,09,
Escuintla,Diabetes mellitus no insulinodependiente,56,20,36,09,
Escuintla,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",56,33,23,09,
Escuintla,Tumor maligno del estómago,51,25,26,09,
Escuintla,Otras septicemias,39,24,15,09,
Escuintla,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",434,199,235,09,
Escuintla,Otras causas,1456,874,582,09,
Santa Rosa,Todas las causas,2067,1232,835,09,
Santa Rosa,"Agresión con disparo de otras armas de fuego, y las no especificadas",200,177,23,09,
Santa Rosa,Infarto agudo del miocardio,137,77,60,09,
Santa Rosa,Exposición a factores no especificados,127,106,21,09,
Santa Rosa,"Neumonía, organismo no especificado",121,69,52,09,
Santa Rosa,Insuficiencia cardíaca,115,62,53,09,
Santa Rosa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",89,38,51,09,
Santa Rosa,"Diabetes mellitus, no especificada",83,26,57,09,
Santa Rosa,Insuficiencia renal crónica,49,29,20,09,
Santa Rosa,Fibrosis y cirrosis del hígado,48,36,12,09,
Santa Rosa,Tumor maligno del estómago,43,19,24,09,
Santa Rosa,Tumor maligno del hígado y de las vías biliares intrahepáticas,38,20,18,09,
Santa Rosa,Diabetes mellitus no insulinodependiente,35,14,21,09,
Santa Rosa,Trastornos mentales y del comportamiento debidos al uso de alcohol,30,30,0,09,
Santa Rosa,Hipertensión esencial (primaria),30,12,18,09,
Santa Rosa,Diarrea y gastroenteritis de presunto origen infeccioso,29,18,11,09,
Santa Rosa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",53,28,25,09,
Santa Rosa,Otras causas,840,471,369,09,
Solola,Todas las causas,1743,929,814,09,
Solola,"Neumonía, organismo no especificado",234,129,105,09,
Solola,"Desnutrición proteicocalórica, no especificada",99,41,58,09,
Solola,Exposición a factores no especificados,82,66,16,09,
Solola,Diarrea y gastroenteritis de presunto origen infeccioso,67,33,34,09,
Solola,Trastornos mentales y del comportamiento debidos al uso de alcohol,64,55,9,09,
Solola,Infarto agudo del miocardio,53,22,31,09,
Solola,"Diabetes mellitus, no especificada",48,20,28,09,
Solola,Fibrosis y cirrosis del hígado,41,27,14,09,
Solola,"Agresión con disparo de otras armas de fuego, y las no especificadas",37,37,0,09,
Solola,Otras septicemias,35,14,21,09,
Solola,Tumor maligno del estómago,30,14,16,09,
Solola,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",28,13,15,09,
Solola,Otras enfermedades pulmonares obstructivas crónicas,22,12,10,09,
Solola,Otros trastornos del encéfalo,21,9,12,09,
Solola,Sepsis bacteriana del recién nacido,21,15,6,09,
Solola,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",236,103,133,09,
Solola,Otras causas,625,319,306,09,
Totonicapan,Todas las causas,2289,1290,999,09,
Totonicapan,"Neumonía, organismo no especificado",522,271,251,09,
Totonicapan,Diarrea y gastroenteritis de presunto origen infeccioso,107,66,41,09,
Totonicapan,Infarto agudo del miocardio,103,54,49,09,
Totonicapan,Fibrosis y cirrosis del hígado,93,63,30,09,
Totonicapan,Exposición a factores no especificados,82,70,12,09,
Totonicapan,Insuficiencia cardíaca,81,48,33,09,
Totonicapan,"Diabetes mellitus, no especificada",76,45,31,09,
Totonicapan,Trastornos mentales y del comportamiento debidos al uso de alcohol,74,59,15,09,
Totonicapan,Hipertensión esencial (primaria),48,18,30,09,
Totonicapan,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",31,13,18,09,
Totonicapan,Sepsis bacteriana del recién nacido,29,18,11,09,
Totonicapan,"Desnutrición proteicocalórica, no especificada",28,13,15,09,
Totonicapan,Úlcera gástrica,28,13,15,09,
Totonicapan,Neumonía congénita,28,16,12,09,
Totonicapan,Depleción del volumen,26,15,11,09,
Totonicapan,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",273,140,133,09,
Totonicapan,Otras causas,660,368,292,09,
Quetzaltenango,Todas las causas,3921,2154,1767,09,
Quetzaltenango,"Neumonía, organismo no especificado",372,193,179,09,
Quetzaltenango,"Diabetes mellitus, no especificada",238,101,137,09,
Quetzaltenango,Exposición a factores no especificados,235,181,54,09,
Quetzaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,156,140,16,09,
Quetzaltenango,"Desnutrición proteicocalórica, no especificada",152,72,80,09,
Quetzaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,121,65,56,09,
Quetzaltenango,Insuficiencia cardíaca,117,56,61,09,
Quetzaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",116,111,5,09,
Quetzaltenango,Infarto agudo del miocardio,110,61,49,09,
Quetzaltenango,Fibrosis y cirrosis del hígado,95,52,43,09,
Quetzaltenango,Enfermedad alcohólica del hígado,82,61,21,09,
Quetzaltenango,Diabetes mellitus no insulinodependiente,79,31,48,09,
Quetzaltenango,Tumor maligno del estómago,77,42,35,09,
Quetzaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",69,26,43,09,
Quetzaltenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,66,29,37,09,
Quetzaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",247,110,137,09,
Quetzaltenango,Otras causas,1589,823,766,09,
Suchitepequez,Todas las causas,2781,1615,1166,09,
Suchitepequez,"Neumonía, organismo no especificado",227,127,100,09,
Suchitepequez,Exposición a factores no especificados,176,143,33,09,
Suchitepequez,"Diabetes mellitus, no especificada",146,58,88,09,
Suchitepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",145,129,16,09,
Suchitepequez,Diarrea y gastroenteritis de presunto origen infeccioso,88,44,44,09,
Suchitepequez,Infarto agudo del miocardio,80,49,31,09,
Suchitepequez,Fibrosis y cirrosis del hígado,65,43,22,09,
Suchitepequez,"Desnutrición proteicocalórica, no especificada",62,33,29,09,
Suchitepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,56,29,27,09,
Suchitepequez,Tumor maligno del estómago,50,23,27,09,
Suchitepequez,Insuficiencia cardíaca,46,19,27,09,
Suchitepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",45,21,24,09,
Suchitepequez,Insuficiencia renal crónica,43,28,15,09,
Suchitepequez,Insuficiencia renal no especificada,38,25,13,09,
Suchitepequez,Tumor maligno de sitios no especificados,35,17,18,09,
Suchitepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",535,273,262,09,
Suchitepequez,Otras causas,944,554,390,09,
Retalhuleu,Todas las causas,1621,947,674,09,
Retalhuleu,"Diabetes mellitus, no especificada",128,51,77,09,
Retalhuleu,"Neumonía, organismo no especificado",111,65,46,09,
Retalhuleu,Exposición a factores no especificados,90,78,12,09,
Retalhuleu,"Agresión con disparo de otras armas de fuego, y las no especificadas",73,67,6,09,
Retalhuleu,Infarto agudo del miocardio,65,35,30,09,
Retalhuleu,Insuficiencia renal crónica,62,48,14,09,
Retalhuleu,Insuficiencia cardíaca,57,22,35,09,
Retalhuleu,Fibrosis y cirrosis del hígado,57,38,19,09,
Retalhuleu,Diarrea y gastroenteritis de presunto origen infeccioso,46,28,18,09,
Retalhuleu,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",46,22,24,09,
Retalhuleu,Tumor maligno del estómago,37,19,18,09,
Retalhuleu,Tumor maligno del hígado y de las vías biliares intrahepáticas,35,14,21,09,
Retalhuleu,Úlcera gástrica,27,14,13,09,
Retalhuleu,Otras septicemias,26,13,13,09,
Retalhuleu,Tumor maligno de la próstata,26,26,0,09,
Retalhuleu,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",66,33,33,09,
Retalhuleu,Otras causas,669,374,295,09,
San Marcos,Todas las causas,4787,2784,2003,09,
San Marcos,"Neumonía, organismo no especificado",741,425,316,09,
San Marcos,Diarrea y gastroenteritis de presunto origen infeccioso,210,121,89,09,
San Marcos,Exposición a factores no especificados,207,170,37,09,
San Marcos,"Desnutrición proteicocalórica, no especificada",196,87,109,09,
San Marcos,Infarto agudo del miocardio,196,112,84,09,
San Marcos,"Agresión con disparo de otras armas de fuego, y las no especificadas",186,162,24,09,
San Marcos,Fibrosis y cirrosis del hígado,156,113,43,09,
San Marcos,"Diabetes mellitus, no especificada",146,72,74,09,
San Marcos,Trastornos mentales y del comportamiento debidos al uso de alcohol,121,111,10,09,
San Marcos,Insuficiencia cardíaca,119,64,55,09,
San Marcos,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",106,48,58,09,
San Marcos,Otros trastornos del encéfalo,98,63,35,09,
San Marcos,Úlcera gástrica,96,55,41,09,
San Marcos,Tumor maligno del hígado y de las vías biliares intrahepáticas,81,42,39,09,
San Marcos,Tumor maligno del estómago,79,31,48,09,
San Marcos,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",401,215,186,09,
San Marcos,Otras causas,1648,893,755,09,
Huehuetenango,Todas las causas,3934,2215,1719,09,
Huehuetenango,"Neumonía, organismo no especificado",636,350,286,09,
Huehuetenango,Diarrea y gastroenteritis de presunto origen infeccioso,271,154,117,09,
Huehuetenango,Exposición a factores no especificados,173,143,30,09,
Huehuetenango,Infarto agudo del miocardio,128,69,59,09,
Huehuetenango,Tumor maligno del estómago,116,50,66,09,
Huehuetenango,"Diabetes mellitus, no especificada",111,45,66,09,
Huehuetenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,106,101,5,09,
Huehuetenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",92,49,43,09,
Huehuetenango,Insuficiencia cardíaca,90,46,44,09,
Huehuetenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",85,72,13,09,
Huehuetenango,Fibrosis y cirrosis del hígado,73,55,18,09,
Huehuetenango,"Desnutrición proteicocalórica, no especificada",66,28,38,09,
Huehuetenango,Depleción del volumen,66,36,30,09,
Huehuetenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,54,34,20,09,
Huehuetenango,Úlcera gástrica,54,20,34,09,
Huehuetenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",359,190,169,09,
Huehuetenango,Otras causas,1454,773,681,09,
Quiche,Todas las causas,3826,2103,1723,09,
Quiche,"Neumonía, organismo no especificado",687,355,332,09,
Quiche,Diarrea y gastroenteritis de presunto origen infeccioso,290,149,141,09,
Quiche,Exposición a factores no especificados,162,135,27,09,
Quiche,Trastornos mentales y del comportamiento debidos al uso de alcohol,121,114,7,09,
Quiche,Infarto agudo del miocardio,121,66,55,09,
Quiche,"Desnutrición proteicocalórica, no especificada",100,37,63,09,
Quiche,Insuficiencia cardíaca,92,41,51,09,
Quiche,"Diabetes mellitus, no especificada",81,37,44,09,
Quiche,Fibrosis y cirrosis del hígado,79,51,28,09,
Quiche,"Agresión con disparo de otras armas de fuego, y las no especificadas",77,73,4,09,
Quiche,Otras septicemias,76,40,36,09,
Quiche,Tumor maligno del estómago,67,30,37,09,
Quiche,Depleción del volumen,61,28,33,09,
Quiche,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",53,24,29,09,
Quiche,Enfermedad alcohólica del hígado,44,33,11,09,
Quiche,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",508,244,264,09,
Quiche,Otras causas,1207,646,561,09,
Baja Verapaz,Todas las causas,1238,717,521,09,
Baja Verapaz,"Neumonía, organismo no especificado",183,98,85,09,
Baja Verapaz,Infarto agudo del miocardio,92,48,44,09,
Baja Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",80,75,5,09,
Baja Verapaz,Exposición a factores no especificados,62,54,8,09,
Baja Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",56,28,28,09,
Baja Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,51,26,25,09,
Baja Verapaz,Tumor maligno del estómago,44,21,23,09,
Baja Verapaz,"Diabetes mellitus, no especificada",29,13,16,09,
Baja Verapaz,Insuficiencia cardíaca,22,9,13,09,
Baja Verapaz,Otras septicemias,21,11,10,09,
Baja Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,18,11,7,09,
Baja Verapaz,Trastornos mentales y del comportamiento debidos al uso de alcohol,18,17,1,09,
Baja Verapaz,"Desnutrición proteicocalórica, no especificada",17,7,10,09,
Baja Verapaz,Fibrosis y cirrosis del hígado,16,10,6,09,
Baja Verapaz,Otras enfermedades pulmonares obstructivas crónicas,13,9,4,09,
Baja Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",47,22,25,09,
Baja Verapaz,Otras causas,469,258,211,09,
Alta Verapaz,Todas las causas,4240,2267,1973,09,
Alta Verapaz,"Neumonía, organismo no especificado",758,399,359,09,
Alta Verapaz,"Desnutrición proteicocalórica, no especificada",400,180,220,09,
Alta Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,320,150,170,09,
Alta Verapaz,Infarto agudo del miocardio,163,88,75,09,
Alta Verapaz,Exposición a factores no especificados,145,122,23,09,
Alta Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",132,127,5,09,
Alta Verapaz,Fibrosis y cirrosis del hígado,105,64,41,09,
Alta Verapaz,Otras anemias,98,37,61,09,
Alta Verapaz,Tumor maligno del estómago,77,32,45,09,
Alta Verapaz,"Diabetes mellitus, no especificada",76,30,46,09,
Alta Verapaz,Otras anemias nutricionales,73,28,45,09,
Alta Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",68,34,34,09,
Alta Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,64,38,26,09,
Alta Verapaz,Insuficiencia cardíaca,50,28,22,09,
Alta Verapaz,Otras septicemias,49,22,27,09,
Alta Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",140,76,64,09,
Alta Verapaz,Otras causas,1522,812,710,09,
Peten,Todas las causas,1824,1144,680,09,
Peten,"Agresión con disparo de otras armas de fuego, y las no especificadas",266,253,13,09,
Peten,Exposición a factores no especificados,97,82,15,09,
Peten,"Neumonía, organismo no especificado",89,47,42,09,
Peten,"Diabetes mellitus, no especificada",84,27,57,09,
Peten,Agresión por medios no especificados,74,69,5,09,
Peten,Diarrea y gastroenteritis de presunto origen infeccioso,71,32,39,09,
Peten,Infarto agudo del miocardio,53,26,27,09,
Peten,Tumor maligno de sitios no especificados,34,12,22,09,
Peten,Tumor maligno del hígado y de las vías biliares intrahepáticas,31,17,14,09,
Peten,Otras enfermedades cerebrovasculares,30,18,12,09,
Peten,Tumor maligno del estómago,28,15,13,09,
Peten,Diabetes mellitus no insulinodependiente,27,13,14,09,
Peten,Secuelas de otros efectos y los no especificados de causas externas,26,22,4,09,
Peten,"Desnutrición proteicocalórica, no especificada",23,8,15,09,
Peten,Agresión con objeto cortante,23,20,3,09,
Peten,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",229,125,104,09,
Peten,Otras causas,639,358,281,09,
Izabal,Todas las causas,1873,1114,759,09,
Izabal,"Agresión con disparo de otras armas de fuego, y las no especificadas",213,198,15,09,
Izabal,"Neumonía, organismo no especificado",129,65,64,09,
Izabal,Infarto agudo del miocardio,118,66,52,09,
Izabal,"Diabetes mellitus, no especificada",90,39,51,09,
Izabal,Exposición a factores no especificados,70,58,12,09,
Izabal,Secuelas de otros efectos y los no especificados de causas externas,66,50,16,09,
Izabal,Diarrea y gastroenteritis de presunto origen infeccioso,62,27,35,09,
Izabal,Insuficiencia cardíaca,42,18,24,09,
Izabal,Fibrosis y cirrosis del hígado,42,24,18,09,
Izabal,Otras septicemias,35,20,15,09,
Izabal,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",34,22,12,09,
Izabal,Tumor maligno del estómago,23,8,15,09,
Izabal,Tumor maligno del hígado y de las vías biliares intrahepáticas,21,9,12,09,
Izabal,Agresión con objeto cortante,21,19,2,09,
Izabal,Diabetes mellitus no insulinodependiente,20,5,15,09,
Izabal,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",159,86,73,09,
Izabal,Otras causas,728,400,328,09,
Zacapa,Todas las causas,1294,746,548,09,
Zacapa,Infarto agudo del miocardio,140,70,70,09,
Zacapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",107,97,10,09,
Zacapa,Exposición a factores no especificados,73,64,9,09,
Zacapa,"Diabetes mellitus, no especificada",68,22,46,09,
Zacapa,"Neumonía, organismo no especificado",65,38,27,09,
Zacapa,Insuficiencia cardíaca,55,34,21,09,
Zacapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",43,24,19,09,
Zacapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,25,10,15,09,
Zacapa,"Desnutrición proteicocalórica, no especificada",24,16,8,09,
Zacapa,Diarrea y gastroenteritis de presunto origen infeccioso,21,11,10,09,
Zacapa,Tumor maligno del estómago,21,12,9,09,
Zacapa,Diabetes mellitus no insulinodependiente,20,6,14,09,
Zacapa,Tumor maligno de la próstata,19,19,0,09,
Zacapa,Hipertensión esencial (primaria),19,8,11,09,
Zacapa,Otros trastornos del encéfalo,16,6,10,09,
Zacapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",40,17,23,09,
Zacapa,Otras causas,538,292,246,09,
Chiquimula,Todas las causas,1985,1165,820,09,
Chiquimula,"Neumonía, organismo no especificado",226,112,114,09,
Chiquimula,Infarto agudo del miocardio,183,96,87,09,
Chiquimula,"Agresión con disparo de otras armas de fuego, y las no especificadas",182,164,18,09,
Chiquimula,Insuficiencia cardíaca,110,47,63,09,
Chiquimula,Exposición a factores no especificados,85,64,21,09,
Chiquimula,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",80,36,44,09,
Chiquimula,Diarrea y gastroenteritis de presunto origen infeccioso,67,36,31,09,
Chiquimula,"Diabetes mellitus, no especificada",64,29,35,09,
Chiquimula,Fibrosis y cirrosis del hígado,49,38,11,09,
Chiquimula,Tumor maligno del estómago,45,22,23,09,
Chiquimula,Agresión con objeto cortante,39,39,0,09,
Chiquimula,Otras septicemias,37,21,16,09,
Chiquimula,Agresión por medios no especificados,27,24,3,09,
Chiquimula,"Desnutrición proteicocalórica, no especificada",22,13,9,09,
Chiquimula,Úlcera gástrica,22,14,8,09,
Chiquimula,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",61,31,30,09,
Chiquimula,Otras causas,686,379,307,09,
Jalapa,Todas las causas,1584,911,673,09,
Jalapa,"Neumonía, organismo no especificado",185,98,87,09,
Jalapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",136,117,19,09,
Jalapa,Infarto agudo del miocardio,119,59,60,09,
Jalapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",78,37,41,09,
Jalapa,Diarrea y gastroenteritis de presunto origen infeccioso,76,41,35,09,
Jalapa,Exposición a factores no especificados,53,45,8,09,
Jalapa,"Diabetes mellitus, no especificada",52,22,30,09,
Jalapa,Tumor maligno del estómago,43,19,24,09,
Jalapa,Insuficiencia cardíaca,43,26,17,09,
Jalapa,Otras enfermedades pulmonares obstructivas crónicas,32,21,11,09,
Jalapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,27,14,13,09,
Jalapa,Agresión con objeto cortante,23,21,2,09,
Jalapa,"Desnutrición proteicocalórica, no especificada",20,13,7,09,
Jalapa,Fibrosis y cirrosis del hígado,20,16,4,09,
Jalapa,Tumor maligno de los bronquios y del pulmón,18,8,10,09,
Jalapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",140,70,70,09,
Jalapa,Otras causas,519,284,235,09,
Jutiapa,Todas las causas,2499,1500,999,09,
Jutiapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",244,213,31,09,
Jutiapa,Infarto agudo del miocardio,216,125,91,09,
Jutiapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",186,99,87,09,
Jutiapa,"Neumonía, organismo no especificado",120,68,52,09,
Jutiapa,"Diabetes mellitus, no especificada",113,47,66,09,
Jutiapa,Exposición a factores no especificados,103,89,14,09,
Jutiapa,Insuficiencia cardíaca,89,46,43,09,
